key,english
Price Change,Price Change
Receive Stocks,Receive Stocks
Scan the product barcode,Scan the product barcode
Search by product name or code,Search by product name or code
Updated Stocks,Updated Stocks
Select update reason,Select update reason
Update Price,Update Price
Select the Vendor,Select the Vendor
Invoice Details,Invoice Details
Search product,Search product
Receiving Quantity,Receiving Quantity
Unit Cost,Unit Cost
Sale Price,Sale Price
Receive product,Receive product
Delivery Date,Delivery Date
Vendor Invoice No.,Vendor Invoice No.
Sub Total,Sub Total
